cluster,start,end,length,label
fall_cluster_4,35402,35618,217,fall
fall_cluster_4,36700,36916,217,fall
fall_cluster_4,38365,38591,227,fall
fall_cluster_4,39564,39812,249,fall
fall_cluster_4,40657,40874,218,fall
fall_cluster_4,41695,41910,216,fall
fall_cluster_4,42686,42909,224,fall
fall_cluster_4,43747,43991,245,fall
fall_cluster_4,45143,45356,214,fall
fall_cluster_4,46241,46477,237,fall
fall_cluster_4,47480,47692,213,fall
fall_cluster_4,48860,49095,236,fall
fall_cluster_4,50241,50452,212,fall
fall_cluster_4,51075,51321,247,fall
fall_cluster_4,52057,52264,208,fall
fall_cluster_4,54555,54757,203,fall
fall_cluster_4,55538,55755,218,fall
fall_cluster_4,56566,56779,214,fall
fall_cluster_4,57623,57861,239,fall
fall_cluster_4,58602,58811,210,fall
fall_cluster_4,59574,59797,224,fall
fall_cluster_4,60535,60756,222,fall
fall_cluster_4,61663,61912,250,fall
fall_cluster_4,62634,62827,194,fall
fall_cluster_4,63485,63722,238,fall
fall_cluster_4,64117,64346,230,fall
fall_cluster_4,65018,65231,214,fall
fall_cluster_4,66102,66343,242,fall
fall_cluster_4,67086,67312,227,fall
fall_cluster_4,68062,68274,213,fall
fall_cluster_4,69065,69309,245,fall
fall_cluster_4,70271,70468,198,fall
fall_cluster_4,71411,71647,237,fall
fall_cluster_4,72399,72624,226,fall
fall_cluster_5,1030,1214,185,fall
fall_cluster_5,1848,2076,229,fall
fall_cluster_5,3085,3156,72,fall
fall_cluster_5,4591,4794,204,fall
fall_cluster_5,5491,5609,119,fall
fall_cluster_5,6348,6544,197,fall
fall_cluster_5,8734,8922,189,fall
fall_cluster_5,9476,9694,219,fall
fall_cluster_5,10354,10534,181,fall
fall_cluster_5,11107,11337,231,fall
fall_cluster_5,12056,12239,184,fall
fall_cluster_5,13623,13828,206,fall
fall_cluster_5,14980,15156,177,fall
fall_cluster_5,15729,15837,109,fall
fall_cluster_5,16334,16523,190,fall
fall_cluster_5,18447,18657,211,fall
fall_cluster_5,19612,19849,238,fall
fall_cluster_5,20503,20571,69,fall
fall_cluster_5,20624,20701,78,fall
fall_cluster_5,21418,21658,241,fall
fall_cluster_5,22157,22364,208,fall
fall_cluster_5,23987,24180,194,fall
fall_cluster_5,25522,25586,65,fall
fall_cluster_5,26375,26603,229,fall
fall_cluster_5,27184,27254,71,fall
fall_cluster_5,27305,27389,85,fall
fall_cluster_5,28113,28251,139,fall
fall_cluster_5,29165,29244,80,fall
fall_cluster_5,30035,30236,202,fall
fall_cluster_5,31308,31383,76,fall
fall_cluster_5,31436,31514,79,fall
fall_cluster_5,32286,32527,242,fall
fall_cluster_5,33650,33830,181,fall
fall_cluster_5,35623,35832,210,fall
fall_cluster_5,37073,37268,196,fall
fall_cluster_5,37832,38052,221,fall
fall_cluster_5,38897,39101,205,fall
fall_cluster_5,39929,39997,69,fall
fall_cluster_5,40051,40150,100,fall
fall_cluster_5,42548,42620,73,fall
fall_cluster_5,42671,42751,81,fall
fall_cluster_5,44571,44758,188,fall
fall_cluster_5,45991,46216,226,fall
fall_cluster_5,46988,47200,213,fall
fall_cluster_5,48326,48472,147,fall
fall_cluster_5,49321,49527,207,fall
fall_cluster_5,51106,51180,75,fall
fall_cluster_5,51231,51312,82,fall
fall_cluster_5,52203,52419,217,fall
fall_cluster_5,53440,53632,193,fall
fall_cluster_5,54511,54748,238,fall
fall_cluster_5,55662,55865,204,fall
fall_cluster_5,56809,57037,229,fall
fall_cluster_5,57981,58198,218,fall
fall_cluster_5,58897,59128,232,fall
fall_cluster_5,60008,60069,62,fall
fall_cluster_5,60121,60230,110,fall
fall_cluster_5,62311,62502,192,fall
fall_cluster_5,63455,63670,216,fall
fall_cluster_5,64146,64216,71,fall
fall_cluster_5,64271,64343,73,fall
fall_cluster_5,66260,66380,121,fall
fall_cluster_5,67004,67199,196,fall
fall_cluster_5,68113,68357,245,fall
fall_cluster_5,68996,69185,190,fall
fall_cluster_5,69954,70203,250,fall
fall_cluster_5,70865,71078,214,fall
fall_cluster_6,695,854,160,fall
fall_cluster_6,1292,1416,125,fall
fall_cluster_6,2112,2310,199,fall
fall_cluster_6,3106,3315,210,fall
fall_cluster_6,3968,4169,202,fall
fall_cluster_6,4890,5129,240,fall
fall_cluster_6,5753,5950,198,fall
fall_cluster_6,6641,6854,214,fall
fall_cluster_6,7285,7472,188,fall
fall_cluster_6,8433,8616,184,fall
fall_cluster_6,9316,9517,202,fall
fall_cluster_6,10348,10565,218,fall
fall_cluster_6,11137,11336,200,fall
fall_cluster_6,12172,12384,213,fall
fall_cluster_6,13037,13232,196,fall
fall_cluster_6,13937,14132,196,fall
fall_cluster_6,15047,15237,191,fall
fall_cluster_6,16079,16276,198,fall
fall_cluster_6,16818,17005,188,fall
fall_cluster_6,17555,17754,200,fall
fall_cluster_6,18354,18546,193,fall
fall_cluster_6,18978,19193,216,fall
fall_cluster_6,19790,19979,190,fall
fall_cluster_6,20551,20741,191,fall
fall_cluster_6,21325,21514,190,fall
fall_cluster_6,22199,22400,202,fall
fall_cluster_6,23118,23310,193,fall
fall_cluster_6,24138,24319,182,fall
fall_cluster_6,25315,25509,195,fall
fall_cluster_6,26026,26192,167,fall
fall_cluster_6,26837,27019,183,fall
fall_cluster_6,28814,29006,193,fall
fall_cluster_6,29665,29846,182,fall
fall_cluster_6,30510,30693,184,fall
fall_cluster_6,31333,31508,176,fall
fall_cluster_6,32301,32488,188,fall
fall_cluster_6,33179,33413,235,fall
fall_cluster_6,34291,34485,195,fall
fall_cluster_6,36080,36272,193,fall
fall_cluster_6,36861,37092,232,fall
fall_cluster_6,37849,38045,197,fall
fall_cluster_6,38897,39134,238,fall
fall_cluster_6,39975,40161,187,fall
fall_cluster_6,40823,41012,190,fall
fall_cluster_6,41659,41854,196,fall
fall_cluster_6,42842,43047,206,fall
fall_cluster_6,43841,44034,194,fall
fall_cluster_6,44556,44764,209,fall
fall_cluster_6,45452,45643,192,fall
fall_cluster_6,46333,46527,195,fall
fall_cluster_6,47166,47350,185,fall
fall_cluster_6,48208,48375,168,fall
fall_cluster_6,49246,49442,197,fall
fall_cluster_6,50175,50371,197,fall
fall_cluster_6,51030,51211,182,fall
fall_cluster_6,51998,52195,198,fall
fall_cluster_6,52876,53064,189,fall
fall_cluster_6,53984,54148,165,fall
fall_cluster_6,54967,55161,195,fall
fall_cluster_6,55834,55990,157,fall
fall_cluster_6,56580,56761,182,fall
fall_cluster_6,57341,57556,216,fall
fall_cluster_6,58419,58601,183,fall
fall_cluster_6,59473,59614,142,fall
fall_cluster_6,60406,60590,185,fall
fall_cluster_6,61677,61869,193,fall
fall_cluster_6,62545,62733,189,fall
fall_cluster_6,63501,63732,232,fall
fall_cluster_6,64644,64828,185,fall
fall_cluster_6,65712,65865,154,fall
fall_cluster_6,66873,67053,181,fall
fall_cluster_6,67776,68016,241,fall
fall_cluster_6,68852,69043,192,fall
fall_cluster_6,69690,69903,214,fall
fall_cluster_6,70782,70969,188,fall
fall_cluster_6,71584,71790,207,fall
fall_cluster_6,72660,72849,190,fall
fall_cluster_6,73595,73772,178,fall
fall_cluster_6,74803,74986,184,fall
fall_cluster_6,76916,77105,190,fall
fall_cluster_7,874,1069,196,fall
fall_cluster_7,1673,1897,225,fall
fall_cluster_7,2478,2717,240,fall
fall_cluster_7,4874,5069,196,fall
fall_cluster_7,5673,5897,225,fall
fall_cluster_7,6478,6717,240,fall
fall_cluster_7,8438,8630,193,fall
fall_cluster_7,9338,9566,229,fall
fall_cluster_7,10536,10770,235,fall
fall_cluster_7,11722,11965,244,fall
fall_cluster_7,12556,12769,214,fall
fall_cluster_7,13789,14006,218,fall
fall_cluster_7,14944,15175,232,fall
fall_cluster_7,16795,17007,213,fall
fall_cluster_7,17791,17997,207,fall
fall_cluster_7,18580,18823,244,fall
fall_cluster_7,19573,19815,243,fall
fall_cluster_7,22259,22473,215,fall
fall_cluster_7,23303,23521,219,fall
fall_cluster_7,23992,24202,211,fall
fall_cluster_7,25360,25594,235,fall
fall_cluster_7,26522,26743,222,fall
fall_cluster_7,27505,27740,236,fall
fall_cluster_7,28373,28583,211,fall
fall_cluster_7,29475,29714,240,fall
fall_cluster_7,30249,30461,213,fall
fall_cluster_7,31040,31271,232,fall
fall_cluster_7,31944,32147,204,fall
fall_cluster_7,32867,33076,210,fall
fall_cluster_7,33798,34019,222,fall
fall_cluster_7,35698,35885,188,fall
fall_cluster_7,36534,36765,232,fall
fall_cluster_7,37302,37483,182,fall
fall_cluster_7,38174,38393,220,fall
fall_cluster_7,39140,39357,218,fall
fall_cluster_7,41234,41434,201,fall
fall_cluster_7,42728,42941,214,fall
fall_cluster_7,44491,44728,238,fall
fall_cluster_7,45224,45446,223,fall
fall_cluster_7,47018,47228,211,fall
fall_cluster_7,47825,48035,211,fall
fall_cluster_7,48732,48932,201,fall
fall_cluster_7,49671,49911,241,fall
fall_cluster_7,50597,50818,222,fall
fall_cluster_7,51795,52006,212,fall
fall_cluster_7,52802,53036,235,fall
fall_cluster_7,55051,55238,188,fall
fall_cluster_7,57542,57790,249,fall
fall_cluster_7,58901,59120,220,fall
fall_cluster_7,59627,59848,222,fall
fall_cluster_7,60572,60812,241,fall
fall_cluster_7,61763,61973,211,fall
fall_cluster_7,64147,64367,221,fall
fall_cluster_7,66544,66740,197,fall
fall_cluster_7,68847,69050,204,fall
fall_cluster_7,70286,70489,204,fall
fall_cluster_7,71263,71484,222,fall
fall_cluster_7,73536,73747,212,fall
fall_cluster_7,74303,74525,223,fall
fall_cluster_7,75068,75280,213,fall
fall_cluster_8,1505,1696,192,fall
fall_cluster_8,2451,2652,202,fall
fall_cluster_8,3090,3304,215,fall
fall_cluster_8,4828,5067,240,fall
fall_cluster_8,5844,6060,217,fall
fall_cluster_8,6578,6781,204,fall
fall_cluster_8,7613,7857,245,fall
fall_cluster_8,8589,8790,202,fall
fall_cluster_8,9745,9954,210,fall
fall_cluster_8,10537,10730,194,fall
fall_cluster_8,12313,12534,222,fall
fall_cluster_8,13370,13611,242,fall
fall_cluster_8,14200,14414,215,fall
fall_cluster_8,16189,16429,241,fall
fall_cluster_8,18074,18289,216,fall
fall_cluster_8,18929,19167,239,fall
fall_cluster_8,19770,19993,224,fall
fall_cluster_8,20855,21088,234,fall
fall_cluster_8,21812,22058,247,fall
fall_cluster_8,22988,23197,210,fall
fall_cluster_8,23923,24155,233,fall
fall_cluster_8,24929,25176,248,fall
fall_cluster_8,25838,26062,225,fall
fall_cluster_8,26727,26956,230,fall
fall_cluster_8,27482,27729,248,fall
fall_cluster_8,28675,28902,228,fall
fall_cluster_8,29490,29723,234,fall
fall_cluster_8,30613,30857,245,fall
fall_cluster_8,31356,31585,230,fall
fall_cluster_8,32207,32438,232,fall
fall_cluster_8,33091,33313,223,fall
fall_cluster_8,34924,35145,222,fall
fall_cluster_8,35864,36074,211,fall
fall_cluster_8,37087,37311,225,fall
fall_cluster_8,39207,39418,212,fall
fall_cluster_8,40015,40245,231,fall
fall_cluster_8,40827,41046,220,fall
fall_cluster_8,41763,42002,240,fall
fall_cluster_8,42703,42909,207,fall
fall_cluster_8,44725,44935,211,fall
fall_cluster_8,45816,46032,217,fall
fall_cluster_8,46653,46856,204,fall
fall_cluster_8,48719,48956,238,fall
fall_cluster_8,50022,50243,222,fall
fall_cluster_8,51204,51427,224,fall
fall_cluster_8,53562,53780,219,fall
fall_cluster_8,54747,54967,221,fall
fall_cluster_8,55675,55895,221,fall
fall_cluster_8,56678,56917,240,fall
fall_cluster_8,57453,57666,214,fall
fall_cluster_8,59132,59364,233,fall
fall_cluster_8,61807,62037,231,fall
fall_cluster_8,62671,62889,219,fall
fall_cluster_8,63706,63945,240,fall
fall_cluster_8,66461,66668,208,fall
fall_cluster_8,68376,68591,216,fall
fall_cluster_8,69334,69560,227,fall
fall_cluster_8,70317,70536,220,fall
fall_cluster_8,71596,71842,247,fall
fall_cluster_8,72481,72684,204,fall
